search_term	itunes_id	collection_name	artist_name	image_file
This American Life	201671138	This American Life	This American Life	201671138.jpg
Radiolab	152249110	Radiolab	WNYC Studios	152249110.jpg
The Tim Ferriss Show	863897795	The Tim Ferriss Show	Tim Ferriss: Bestselling Author, Human Guinea Pig	863897795.jpg
Pod Save America	1192761536	Pod Save America	Pod Save America	1192761536.jpg
The Joe Rogan Experience	360084272	The Joe Rogan Experience	Joe Rogan	360084272.jpg
Call Her Daddy	1418960261	Call Her Daddy	Alex Cooper	1418960261.jpg
Office Ladies	1480311435	Office Ladies	Audacy & Jenna Fischer and Angela Kinsey	1480311435.jpg
WTF with Marc Maron	329875043	WTF with Marc Maron Podcast	Marc Maron	329875043.jpg
Science Vs	1051557000	Science Vs	Spotify Studios	1051557000.jpg
Criminal podcast Vox	809264944	Criminal	Vox Media Podcast Network	809264944.jpg
Revisionist History Malcolm Gladwell	1119389968	Revisionist History: The Staten Island Problem	Pushkin Industries	1119389968.jpg
The Indicator from Planet Money	1320118593	The Indicator from Planet Money	NPR	1320118593.jpg
You're Wrong About	1380008439	You're Wrong About	Sarah Marshall	1380008439.jpg
Up First NPR	1222114325	Up First from NPR	NPR	1222114325.jpg
Fresh Air NPR	214089682	Fresh Air	NPR	214089682.jpg
How I Built This Guy Raz	1150510297	How I Built This with Guy Raz	Guy Raz | Wondery	1150510297.jpg
Song Exploder	788236947	Song Exploder	Hrishikesh Hirway	788236947.jpg
Modern Love New York Times	1065559535	Modern Love	The New York Times	1065559535.jpg
